user_id	item_id	time
20746	28	982800000
9642	30	1033689600
4134	39	1070668800
207	39	1072051200
21655	33	1073520000
21655	39	1074729600
1499	33	1075334400
21655	40	1077062400
19584	38	1077148800
21655	30	1077667200
26047	33	1079913600
14347	33	1080000000
5853	33	1080777600
6353	38	1081728000
23109	40	1082764800
371	27	1083715200
5428	45	1087516800
25813	33	1088899200
22884	33	1089244800
2169	38	1090627200
21486	38	1090886400
7604	33	1091404800
24159	39	1092268800
2671	47	1092614400
7473	47	1093305600
7473	50	1093305600
9586	101	1093478400
18256	33	1093651200
27646	40	1094083200
11907	39	1094342400
26819	40	1094601600
3499	40	1095206400
19294	27	1095552000
21655	38	1095724800
21655	60	1097020800
3116	60	1097107200
25865	45	1099958400
11619	62	1100304000
18752	72	1100995200
8138	67	1101427200
18752	47	1101513600
9497	47	1102377600
25579	33	1102464000
4690	60	1102896000
6847	40	1103328000
27213	67	1103587200
6216	63	1104192000
17799	72	1104364800
5017	47	1104624000
15404	68	1105315200
15404	50	1105401600
15404	67	1105401600
11943	58	1105747200
27073	60	1105833600
25361	63	1105920000
21655	58	1106092800
16331	56	1106611200
5017	45	1107043200
27044	58	1107043200
6567	47	1107216000
18117	69	1107216000
1505	30	1107475200
1505	46	1107475200
18117	56	1107648000
10173	67	1107907200
19920	58	1108252800
16968	56	1108512000
22410	72	1108512000
4139	58	1108598400
19920	56	1108771200
9938	63	1109030400
4305	60	1109376000
4720	47	1109980800
972	45	1110326400
15303	62	1110585600
18197	63	1110844800
7143	60	1111017600
1780	45	1111190400
14280	66	1112659200
8739	68	1112918400
21684	72	1113091200
12706	72	1113264000
16968	63	1113264000
17169	56	1113350400
24075	39	1113523200
20710	72	1113609600
20710	89	1114387200
14706	73	1114473600
16478	75	1115164800
6491	53	1115424000
11550	68	1115683200
21170	45	1116288000
7667	63	1116806400
14922	90	1116892800
19205	73	1117152000
15404	87	1117670400
17799	8241	1117670400
23695	87	1117929600
26935	73	1118275200
27044	90	1118620800
17570	73	1119225600
19018	104	1120435200
21655	104	1120521600
21684	50	1120694400
11509	63	1121644800
23026	68	1121731200
25187	98	1122249600
4723	98	1122422400
15404	53	1122508800
16017	63	1122768000
4723	85	1122940800
15985	60	1123027200
4723	87	1123113600
7703	87	1123545600
27069	63	1123632000
16968	47	1123977600
972	90	1124323200
9878	87	1124323200
13682	87	1124323200
563	67	1125100800
16686	72	1125100800
2618	98	1125705600
15855	73	1125878400
16480	89	1125964800
2657	85	1126310400
23205	50	1126483200
27416	73	1126569600
16942	72	1126828800
19803	77	1126915200
2216	89	1127174400
16145	93	1127174400
12554	60	1127433600
15404	91	1127606400
