user_id	item_id	timestamp
109	157	880577961
436	553	887769777
864	562	888891794
690	197	881180427
668	283	881605324
297	31	881708087
453	53	877561894
224	423	888103581
940	357	885921219
168	100	884287362
301	156	882076098
847	501	878940463
461	304	885355805
535	190	879617747
816	331	891710922
95	843	880572448
856	270	891489412
14	22	890881521
13	194	882141458
936	116	886832636
416	768	893210187
642	1014	886131547
345	387	884992823
90	644	891384065
848	204	887039078
387	79	886483049
751	178	889132896
715	233	875964468
943	1188	888640250
653	83	878853936
333	174	891045082
1	163	875072442
312	166	891698391
526	127	885682426
674	127	887762799
95	660	880571456
431	294	877844377
452	660	875560068
303	153	879466421
222	164	878181768
84	70	883452906
336	628	877760374
720	268	891262669
712	419	874730234
193	742	889126673
716	357	879795762
871	202	888193385
450	82	887834953
385	207	881530739
711	79	879992739
18	143	880131474
187	173	879465307
407	70	884197052
457	276	882393306
1	62	878542282
344	476	884900499
311	550	884364812
927	168	879193383
153	322	881370900
347	943	881654545
316	549	880854049
790	4	885156773
612	15	875324455
263	176	891299752
751	310	887134816
656	303	892318553
823	136	878438206
158	403	880134650
177	642	880130972
7	650	891350965
852	252	891036866
899	111	884120105
737	173	884314970
83	191	880308038
634	116	875729069
5	414	875636691
320	184	884749360
882	194	879879668
97	202	884239449
479	193	879460939
536	199	882359499
727	474	883710910
524	614	884634731
705	97	883518765
44	480	878347315
128	465	879968008
184	66	889910013
222	219	878184675
567	248	882427273
587	905	892871503
234	91	892335920
472	257	875978096
749	742	878849375
643	154	891447286
825	1087	881343153
481	479	885828619
455	176	879111960
450	495	882395052
128	451	879967879
259	772	874724882
398	692	875717020
305	183	886324028
279	186	875309482
40	270	889041477
586	385	884058956
798	225	875637487
659	431	891385627
868	181	877103280
386	24	877655028
389	525	880165277
270	421	876955633
878	174	880872669
892	679	886610049
399	426	882350431
796	82	892676195
643	484	891448756
416	603	893212484
642	409	885605909
896	70	887160086
312	506	891699121
328	589	885046244
417	484	879647380
671	298	875389187
714	291	892777117
95	179	880570909
603	230	891955922
886	157	876031695
315	657	879821299
209	1137	883417491
145	823	875271397
848	97	887043607
249	100	879572370
28	258	881955018
3	331	889237455
887	168	881380067
85	428	879454235
200	229	884129696
94	164	891721528
878	285	880865562
650	38	891381784
85	8	879454952
467	181	879532420
334	508	891544867
46	909	883614766
502	687	883702867
311	511	884365202
279	1032	880666757
826	391	885690854
644	823	889076997
332	682	889069561
633	172	877212250
474	511	887925620
936	181	886832596
296	961	884197287
237	485	879376553
436	411	887771022
642	623	886570010
593	83	886194064
292	331	877560833
513	222	885062519
465	98	883531409
746	68	885075337
481	659	885829153
757	241	888466863
894	381	882404430
655	1070	887474050
532	491	893119491
896	69	887158768
598	259	886710977
276	786	874791694
14	210	879119739
557	875	881179291
323	268	878738865
796	1046	893194607
382	474	875947199
393	870	887745454
378	203	880055239
938	258	891353196
943	732	888639789
95	232	879196513
899	153	884122331
632	176	879457812
495	191	888632219
394	1484	881059619
924	511	885457827
894	93	880416219
864	588	888887289
345	272	884900426
655	1098	887473905
125	143	879454793
487	1011	883444768
151	684	879524849
291	1244	874834345
472	72	892791017
542	531	886533452
892	11	886608897
902	754	879463310
343	715	876405943
919	325	875288418
472	91	892791063
934	100	891189511
897	826	879993578
620	969	889988037
758	199	881975687
94	496	885873159
682	156	888519207
657	873	884238614
737	475	884314693
655	45	891585477
263	322	891297485
939	257	880260805
655	995	887424991
508	70	883776748
221	172	875245907
786	133	882843353
298	121	884126202
738	234	875349850
460	245	882910657
775	887	891032866
529	258	882535091
346	186	874948303
269	647	891447815
655	1248	887473879
618	895	891309929
932	614	891280138
456	1604	881372849
94	372	891723124
500	111	888538350
244	241	880602893
716	127	879793293
889	741	880177131
465	319	883529372
720	313	891262608
877	185	882678387
715	1	875961843
647	328	876531582
595	844	886922069
551	346	892775547
919	1119	875373824
600	38	888452491
463	93	877385457
279	515	875295943
222	222	877563462
314	433	877887642
533	949	879439519
603	173	891956877
715	462	875963998
826	127	885690482
406	9	879445735
437	476	880142177
269	716	891451111
805	1119	881696759
52	473	882922661
315	741	879821349
257	181	882050131
484	210	891194743
851	1014	874767408
186	470	879023693
344	11	884901270
406	582	879793295
807	313	892527050
533	221	888844601
588	217	890030473
237	190	879376515
917	289	882910457
343	1	876402668
663	124	889492390
663	326	889491861
276	1416	874792634
523	153	883702054
642	575	886454901
721	111	877154765
152	220	884035907
880	210	880167670
186	148	891719774
178	51	882828021
313	205	891013652
328	606	885046244
736	286	878709365
72	515	880036602
230	1	880484370
345	268	884900448
207	1023	875506634
758	288	882056007
64	496	889737567
435	68	884131901
380	199	885478845
378	12	880046132
846	693	883949335
6	242	883268170
363	1007	891499355
798	151	875554819
273	305	891292905
452	8	875266060
919	1152	875288612
907	471	880159059
608	166	880403388
733	1338	879536608
575	79	878148199
363	428	891495742
148	222	877398901
869	596	884491734
92	94	875812876
363	56	891495301
92	235	875640338
506	568	889979761
83	31	880307751
524	56	884634849
216	237	880232752
334	187	891547107
417	561	879648707
262	121	879790536
721	678	877137527
265	471	875320302
144	147	888104402
694	237	875728509
178	535	882824671
296	705	884197193
749	566	878849857
210	79	887736352
396	291	884646289
175	629	877107942
435	214	884131741
565	1396	891037333
437	705	880141335
251	1012	886272175
785	168	879438810
666	294	880139037
178	255	882824001
